Text 1	Text 2	Text 3	Text 4	Category 1	Extra Info
imperium	rike, makt; befälsrätt	imperium, -i (n)	sv. Imperium, imperialism		
Romanus	romersk	Romanus, -a, -um	sv. roman	adj	
magnus	stor	magnus, -a, -um	sv. magnitud	adj	
esse	att vara	oregelbundet		verb	infinitive av sum
est	(han/hon/den/det) är			verb	
sunt	(de) är			verb	
imperator	kejsare	imperator, imperatoris (m)	eng. Emperor		
habere	att ha			verb	Infinitive av habeo
habet	(han/hon/den/det) har			verb	
tenere	att hålla; att inneha			verb	Infinitive av teneo
tenet	(han/hon/den/det) innehar			verb	
multus	mången, många	multus, -a, -um	sv. multiplicera	adj	
civitas	stat	civitas, civitatis (f)	sv. civil		
externus	yttre, utländsk	externus, -a, -um	sv. extern	adj	
vincere	att besegra			verb	Infinitive av vinco
vincit	(han/hon/den/det) besegrar			verb	
victus	besegrad	victus, -a, -um			
saepe	ofta			adv	
provincia	provins	Provincia, -ae (f)	sv. provinsiell		
deveniunt	(de) övergick till att bli			verb	
Gallia	Gallien	Gallia, -ae			
Africa	Afrika	Africa, -ae			
Germanus	german	Germanus, -i	sv. germansk, eng. Germany		
hostis	fiende	hostis, hostis (m/f)	eng. Hostile		
dicit	(han/hon/den/det) säger			verb	
