*	name	Lingua Latina Novo Modo I, kapitel 1				
*	card-theme	Sky - Rounded				
Text 1	Text 2	Text 3	Text 4	Category 1	Extra Info	Sound 4
imperium, -i (n)	rike, makt; befälsrätt	sv. Imperium, imperialism				
Romanus, -a, -um	romersk	sv. roman		adj		
magnus, -a, -um	stor	sv. magnitud		adj		
esse	att vara	fr. être, it. essere	sum, fui, esse (oreg)	verb	infinitive	
est	<color grey>(han/hon/den/det)</color> är	fr. être, it. essere	sum, fui, esse (oreg)	verb		
sunt	<color grey>(de)</color> är	fr. être, it. essere	sum, fui, esse (oreg)	verb		
imperator, imperatoris (m)	kejsare	eng. emperor				
habere	att ha	eng. habitude	habeo, habui, habitum (2)	verb	infinitive	La-cls-habeo.aac
habet	<color grey>(han/hon/den/det)</color> har		habeo, habui, habitum (2)	verb		
tenere	att hålla; att inneha		teneo, tenui, - (2)	verb	infinitive	
tenet	<color grey>(han/hon/den/det)</color> innehar		teneo, tenui, - (2)	verb		
multus, -a, -um	mången, många	sv. multiplicera		adj		
civitas, civitatis (f)	stat	sv. civil				
externus, -a, -um	yttre, utländsk	sv. extern		adj		
vincere	att besegra	sv. Viktor, eng. victory	vinco, vici, victum (3a)	verb	infinitive	
vincit	<color grey>(han/hon/den/det)</color> besegrar		vinco, vici, victum (3a)	verb		
victus, -a, -um	besegrad					
saepe	ofta			adv		
Provincia, -ae (f)	provins	sv. provinsiell				
deveniunt	<color grey>(de)</color> övergår till att bli	eng. devent	devenio, -veni, -ventum (4)	verb		
Gallia, -ae	Gallien					
Africa, -ae	Afrika					
Germanus, -i	german	sv. germansk, eng. Germany				
hostis, hostis (m/f)	fiende	eng. hostile				
dīcit	<color grey>(han/hon/den/det)</color> säger	sv. edikt, diktera	dico, dixi, dictum (3a)	verb		
amāre	älska		amō, amāvī, amātum (1)	verb		La-cls-amo.aac
vēnīre	komma		vēneō, vēniī, vēnitum (oreg)	verb		
puella, -ae (f)	flicka	sv. pulla				
laetus, -a, -um	glad	fr. lie		adj		
amicus, -i (m)	vän (m)	fr. ami			sp. amigo	
anxius, -a, -um	orolig	eng. anxious		adj		
vinum, -ī (n)	vin	sv. vin				
bonus, -a, -um	god, bra	sv. bonus		adj	fr. bonbon	
pater, patris (m)	pappa	sv. fader			hi. पिता ‎(pitā)	
felix	lycklig	eng. felicity		adj		
coniunx, coniugis (f)	hustru	eng. conjugal				
sapiens	vis, klok	eng. sapient		adj	sv. Homo sapiens	
numen, nūminis (n)	gudom					
ingēns	enorm			adj		
