*	name	Lingua Latina Novo Modo, kapitel 02					
*	card-theme	Sky - Rounded					
Text 1	Text 2	Text 3	Text 4	Category 1	Category 2	Extra Info	Sound 4
Rōmānus, -ī (m)	rommare						La-cls-romanus.aac
ōlim	en gång, fordom			adv			La-cls-olim.aac
tēctum, -ī (n)	tak, meton. hus, hydda		sv. tegel (cognate w. eng. tile, really from Latin's tegula, which like tectum comes from tegō/tegere). f. tegō; I cover, sv. de+tektiv (~avtäcka / uncover)				
mōns, montis (m)	berg, kulle	eng. mountain; fr. mont					
habitō (1)	bo; bebo	eng. inhabitant; fr. habiter	habitō, habitāvī, habitātum	verb			La-cls-habito.aac
agricola, -ae (m!)	bonde	sv. agrikultur, agrar; eng. agrarian					La-cls-agricola.aac
sum, fuī, esse	vara, finnas, existera						La-cls-sum.aac
erant	de var			verb	imp		
humilis, -e	låg, enkel, ödmjuk	eng. humble, humiliate		adj			
alius, -a, -um	annan	sv. alias; eng. alias, fr. autre					
quoque	även		(ordet plaseras i allmänhet på andra plats i satsen)	adv			La-cls-quoque.aac
populus, -ī (m)	folk	sv. populär, populism					La-cls-populus.aac
terra, -ae (f)	jord, mark	sv. territorium, terräng					La-cls-terra.aac
Ītalia, -ae (f)	Italien, italienska halvön						La-cls-Italia.aac
colō, coluī, coltum (3a)	odla, bruka, vårda, dyrka	sv. kultur, kult, kultivera		verb			
et	och	sv. etcetera (etc.)					La-cls-et.aac
cum	med		(styr kasus ablativ)	prep			La-cls-cum.aac
is, ea, id	den		(böjs oregelbundet, men lika många andra pronomina, se quarta pars)	pron			
eīs	dem		ablativ plural av is, ea, id				
contendō, contendī, contentum (3a)	sammandrabba, spänna, anstränga sig, kämpa	eng. contend		verb		f. con- ‎(“with, together”) + tendō ‎(“stretch, extend, strive”)	
quamquam	fastän			adv			
multa	mycket; n pl ack av multus	sv. multiplicera					
doceo, docui, doctum (2)	lära ut	sv. docent, doktor; eng. docile		verb			La-cls-doceo.aac
religiō, religiōnis (f)	yttre religion, gudsdyrkan	sv. religion; eng. religion					La-cls-religio.aac
trādō,  trādidī, trāditum (3a)	överlämmna	sv. tradition; eng. tradition					
auspicium, -ī (n)	fågelskådning, förebud	eng. auspicious					
observō (1)	iakta	sv. observera; eng. observe					
							
altus, -a, -um	hög; djup	sv. alt, altan					
mare, maris (n)	hav	sv. marin, maritim					
							
vetus, veteris	gammal	sv. veteran		adj			
fēmina, -ae (f)	kvinna	sv. feminin					La-cls-femina.aac
nōn	inte		(negation, placeras i allmänhet före verbet)				La-cls-non.aac
nūllus, -a, -um	ingen, inget	sv. noll		pron			La-cls-nullus.aac
igitur	alltså			adv			La-cls-igitur.aac
liber, librī (m)	barn (friboret barn)						La-cls-liber.aac
autem	men, emellertid		(placeras i allmänhet på andra plats i satsen)	konj			
sed	men		(placeras först i satsen)	konj			La-cls-sed.aac
dō, dedī, datum (1)	ge	sv. datum, datera, dativ		verb			La-cls-do.aac
nōlō, nōlui, -, nōlle	inte vilja		(oregelbundet verb)	verb			
pulcher, -ra, -rum	vacker			adj			La-cls-pulcher.aac
faciō, fēcī, factum (3b)	göra	sv. facit, faktum, faktiskt		verb			La-cls-facio.aac
volō, voluī, -, velle	vilja		(oregelbundet verb)	verb			La-cls-volo.aac
iam	redan			adv			La-cls-iam.aac
marītus, -ī (m)	make	eng. marital; fr. mari, marieé					
fallāx, fallacis	svekfull, bedräglig	eng. fallacious; fr. faux		adj			
fēstīvitās, fallācis (f)	festlighet						
praeparō (1)	förbereda	sv. preparera					
rēx, rēgis (m)	kung	sv. regent, regal					La-cls-rex.aac
mulier, mulieris (f)	kvinna, hustru	it. moglie					
invītō (1)	inbjuda	sv. invitera; eng. invite; fr. inviter		verb			
veniō, vēnī, ventum (4)	komma	fr. venir		verb			La-cls-venio.aac
gaudeō, gāvīsus sum (2 halvdeponens)	glädjas, glädja sig	fr. jouir		verb			
causa, -ae (f)	orsak	sv. kausalitet; eng. cause					
gaudium, -i (n)	glädje	eng. joy					La-cls-gaudium.aac
subitō	plötsligt			adv			
iuvenis, iuvenis (m/f)	ungdom, ynkling	sv. juvenil; eng. juvenile; fr. jeune					
rapiō, rapuī, raptum (3b)	röva, rycka	eng. rapture, rapid		verb			
terreō, terruī, territum (2)	skrämma	sv. terror; eng. terrify, terrible		verb			
domum	hem(åt)	sv. domesticera					
sine	utan		(styr kasus ablantiv)	prep			La-cls-sine.aac
vertō, vertī, versum (3a)	vända	sv. version		verb			
