*	name	Lingua Latina Novo Modo, kapitel 12							
*	card-theme	Sky - Rounded							
Text 1	Text 2	Text 3	Text 4	Category 1	Category 2	Extra Info	Sound 4	Ignore	Category 3
diū	länge			adv			La-cls-diu.aac		
vīvō, vīxī, vīctum (3)	leva	sv. vital, vivör; eng. vivid							
vīxerat	han hade levt		pluskvamperfekt ind akt 3 sing av vivo (3)		pluskvamperfekt			yes	
cum (konj)	när			konj			La-cls-cum.aac		
trānseō, -iī, -itum, transire	övergå, passera	sv. transitiv; eng. transit	oreg.	verb					
dē (prep)	vad beträffar, om; ner från; ur		styr kasus ablativ	prep			La-cls-de.aac		
mors, mortis (f)	död	sv. mortalitet; eng. mortal							
Livius, -i (m)	Livius (egennamn); romersk historieskrivare							yes	
auctor, auctōris (m/f)	upphovsman, författare	sv. auktoritet; eng. author							
nōbilis, nōbile	ädel, högättad, adlig	sv. nobel, nobless		adj					
potestās, potestātis (f)	makt	sv. potens, potentat							
sibi	sig (dativ av reflexivpronomet, sing & plur)		refl pron, dativ	pron					
voluerant	de hade velat		pluskvamperfekt ind akt 3 plur av volo		pluskvamperfekt			yes	
corripiō, -ripuī, reptum (3)	häftigt gripa, rycka			verb					
rēs, reī (f)	sak	sv. reell, rejäl, rebus; eng. real, reality							
novus, -a, -um	ny	sv. novis, novitet					La-cls-novus.aac		
rēs nova	revolution (eg. ny sak)								
praeparō (1)	förbereda	sv. preparera, preparat		verb		f. prae (“before”)  +‎ parō ‎(“prepare”, “arrange”)			
praeparāverant	de hade förberett		pluskvamperfekt ind akt 3 plur av praeparō (1)		pluskvamperfekt			yes	
de (prep)	ned från; av, bland; angående		styr kasus ablativ	prep				yes	
cōgitō (1)	tänka	eng. cogitate, cogitation		verb			La-cls-cogito.aac		
cogitaverant	de hade tänkt		pluskvamperfekt ind akt 3 plur av cōgitō (1)		pluskvamperfekt			yes	
cōgitō dē	tänka på							yes	
pars, partis (f)	del	sv. part, partitiv, partiell							
invidia, -ae (f)	motvilja, hat, avund	eng. envy invidious							
īgnōrō (1)	inte känna till, vara okunnig om	sv. ignorans, ignorant		verb					
ignoraverant	de hade inte känt till		pluskvamperfekt ind akt 3 plur av īgnōrō (1)		pluskvamperfekt			yes	
ingenium, -iī (n)	förnuft, begåvning	sv. ingenjör				f. in + gignere (beget, give birth to, produce, cause)			
cēnseō, cēnsuī, cēnsum (2)	anse; upskatta, värdera	sv. censor, censur		verb					
cēnsuerant	de hade ansett		pluskvamperfekt ind akt 3 plur av cēnseō (2)		pluskvamperfekt			yes	
tumultus, -ūs (m)	oro, tumult	sv. tumult						yes	
fuerat	det hade varit/blivit		pluskvamperfekt ind akt 3 sing av sum		pluskvamperfekt			yes	
membrum, -ī (n)	lem, kroppsdel	eng. member							
hinc	härifrån			adv					
illinc	därifrån			adv					
hinc atque illinc	hit och dit								
volō (1)	flyga	fr. voler; it. volare		verb			La-cls-volo.aac		
volāverant	de hade flugit		pluskvamperfekt ind akt 3 plur av volō (1)		pluskvamperfekt			yes	
sanguis, sanguinis (m)	blod	sv. sangvinisk					La-cls-sanguis.aac		
fluō, fluxī, fluctum (3)	flyta	sv. flukturera; eng. flow		verb		fluxum ← alt. supinum			
fluxerat	det hade flutit		pluskvamperfekt ind akt 3 sing av fluō (3)		pluskvamperfekt			yes	
tēlum, -ī (n)	vapen								
fulgeō, fulsī, - (2)	glänsa, blixtra	fr. fulgural, fulgurant							
fulserant	de hade blixtrat		pluskvamperfekt ind akt 3 plur av fulgeō (3)		pluskvamperfekt			yes	
nūbēs, nūbis (f)	moln	fr. nuage, nuance					La-cls-nubes.aac		
āter, ātra, ātrum	mörk, svart	sv. atrium		adj					
caelum, -ī (n)	himmel	sv. celest; eng. celing					La-cls-caelum.aac	yes	
caelō	här: från himlen		separativ ablativ					yes	
dēscendō, -scendī, -scensum (3)	stiga ner	eng. descend		verb		f. dē- +‎ scandō (climb, ascend, mount)			
omnia	allt		neutr. plur. av omnis					yes	
operiō, operuī, opertum (4)	täcka, dölja			verb					
opācus, -a, -um	skuggig, mörk	eng. opacity; it. opace		adj					
anxietas, anxietatis (f)	oro	eng. anxiety							
crēscō, crēvī, - (3)	växa, öka	sv. crescendo		verb					
tempus, tempŏris (n)	tid	sv. tempus, temporal, temporär					La-cls-tempus.aac	yes	
recēdō, -cessī, -cessum (3)	gå tillbaka, dra sig tillbaka	eng. recede		verb		f. re- + cedere ‎(“to go”)			
non iam	inte längre							yes	
possum, potuī, posse	kunna	sv. potens	oreg., jfr. esse	verb		eng. power	La-cls-possum.aac	yes	
apud	hos, vid		styr kasus ackusativ	prep					
mortālis, mortāle	dödlig	sv. mortalitet, eng. mortal	ofta substantiverat = människa	adj					
conditor, conditōris (m)	grundläggare, upphovsman							yes	
trānseō, -iī, -itum, -īre	övergå	eng. transit	oreg.	verb		f. trāns ‎(“across”) + eō ‎(“go”)			
transierat	han hade övergått		pluskvamperfekt ind akt 3 sing av trānseō (3)		pluskvamperfekt			yes	
									
legō, lēgī, lēctum (3)	läsa; plocka, samla	sv. lektion, legend, legym							
cēna, -ae (f)	middag	fr. (la sainte) Cène; it. cena							
exeo, exii, exitum, exire	gå ut	eng. exit	oreg.	verb					
properō (1)	skynda; påskynda			verb					
festino (1)	skynda; påskynda			verb			La-cls-festino.aac		
cōnspiciō, cōnspexī, cōnspectum	få syn på	eng. conspicuous		verb					
abeō, abiī, abitum, abīre	gå sin väg, försvinna		oreg.	verb		f. ab ‎(“from, away”) + eō ‎(“go”)			
excēdō, excessī, excessum (3)	gå ut; överskrida	sv. excesser; eng. exceed		verb		f. ex ‎(“out of, from”) + cēdō ‎(“withdraw; yield”)			
ēvādō, ēvāsī, ēvāsum (3)	rädda sig undan; passera; gå ut, lämmna	eng. evade; fr. évader		verb		f. ex- +‎ vadere (“gå”; delar PIE rot med “vada”)			
ērumpō, ērūpī, ēruptum (3)	störta (sig) ut; vräka ut	sv. eruptiv		verb		f. ē(x)- + rumpō ‎(“break, burst”)			
cōgitō (1)	tänka	eng. cogitate, cogitation		verb			La-cls-cogito.aac	yes	
doleō (2)	sörja, lida	sv. indolent, kondoleans; eng. condolence		verb					
mihi	jag		dativ av “ego”	pron			La-cls-mihi.aac		
eō, iī, itum, īre	gå	sv. initial, exil, transitiv	oreg.	verb			La-cls-eo.aac		
currō, cucurrī, cursus (3)	springa	sv. kursiv, kurs, kurir		verb					
edō, ēdī, ēsum (3)	äta	eng. edible, esurient		verb		ibland oreg. inf. akt.: esse, edere förekommer också			
